leaflet_name,url,source
Invasive lobular breast cancer,https://breastcancernow.org/download-and-order-publications/invasive-lobular-breast-cancer-bcc45,Breast Cancer Now
"Know your breasts: a quick guide, Arabic",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-arabic-bcc227,Breast Cancer Now
"Know your breasts: a quick guide, Bengali",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-bengali-bcc217,Breast Cancer Now
"Know your breasts: a quick guide, French",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-french-bcc237,Breast Cancer Now
"Know your breasts: a quick guide, Gujarati",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-gujarati-bcc219,Breast Cancer Now
"Know your breasts: a quick guide, Hindi",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-hindi-bcc218,Breast Cancer Now
"Know your breasts: a quick guide, Polish",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-polish-bcn241,Breast Cancer Now
"Know your breasts: a quick guide, Portuguese",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-portuguese-bcn245,Breast Cancer Now
"Know your breasts: a quick guide, Punjabi",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-punjabi-bcc226,Breast Cancer Now
"Know your breasts: a quick guide, Romanian",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-romanian-bcn242,Breast Cancer Now
"Know your breasts: a quick guide, Simplified Chinese",https://breastcancernow.org/download-and-order-publications/know-your-breasts-quick-guide-simplified-chinese-bcn243,Breast Cancer Now
Invasive Breast Cancer Nst Bcc210 Web,https://breastcancernow.org/media-assets/irhhrq2y/invasive-breast-cancer-nst-bcc210-web.pdf,Breast Cancer Now
Bcc45 Invasive Lobular Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/c0qj4mpi/bcc45-invasive-lobular-breast-cancer-web-pdf.pdf,Breast Cancer Now
Bcc227 Arabic Know Your Breasts 2022 Web Pdf,https://breastcancernow.org/media-assets/xwwnuu4s/bcc227-arabic-know-your-breasts-2022-web-pdf.pdf,Breast Cancer Now
Bcc217 Bengali Know Your Breasts 2022 Web Pdf,https://breastcancernow.org/media-assets/h1ykoxrm/bcc217-bengali-know-your-breasts-2022-web-pdf.pdf,Breast Cancer Now
Bcc237 French Know Your Breasts 2022 Web Pdf,https://breastcancernow.org/media-assets/4fthi23q/bcc237-french-know-your-breasts-2022-web-pdf.pdf,Breast Cancer Now
Bcc219 Gujarati Know Your Breasrs 2022 Web Pdf,https://breastcancernow.org/media-assets/ycanxjdy/bcc219-gujarati-know-your-breasrs-2022-web-pdf.pdf,Breast Cancer Now
Bcc218 Hindi Know Your Breasts 2022 Web Pdf,https://breastcancernow.org/media-assets/ru5b01rn/bcc218-hindi-know-your-breasts-2022-web-pdf.pdf,Breast Cancer Now
